Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): D:/DATANALYSIS_C/Reference_Proteins_Benchmark_SAXS_102018/Standards Data Share_JT_201119/SAXS/UMD-APS from Alex/Lsz_APS_12IDB_1.0mgmL.dat D:/DATANALYSIS_C/Reference_Proteins_Benchmark_SAXS_102018/Standards Data Share_JT_201119/SAXS/UMD-APS from Alex/Lsz_APS_12IDB_5.0mgmL.dat  
 4.540000e-001  1.397460e-004  3.978482e-006
 4.560000e-001  1.351186e-004  3.495427e-006
 4.580000e-001  1.315754e-004  3.757679e-006
 4.600000e-001  1.342278e-004  3.278204e-006
 4.620000e-001  1.268347e-004  3.534098e-006
 4.640000e-001  1.378173e-004  3.737484e-006
 4.660000e-001  1.318495e-004  3.885553e-006
 4.680000e-001  1.332678e-004  4.097877e-006
 4.700000e-001  1.287668e-004  3.314185e-006
 4.720000e-001  1.331945e-004  3.382245e-006
 4.740000e-001  1.227835e-004  3.589729e-006
 4.760000e-001  1.251674e-004  3.512786e-006
 4.780000e-001  1.293290e-004  4.201260e-006
 4.800000e-001  1.244207e-004  4.293328e-006
 4.820000e-001  1.281100e-004  4.037778e-006
 4.840000e-001  1.216530e-004  3.747395e-006
 4.860000e-001  1.188569e-004  3.910447e-006
 4.880000e-001  1.293131e-004  4.339619e-006
 4.900000e-001  1.211666e-004  4.348930e-006
 4.920000e-001  1.248182e-004  4.374423e-006
 4.940000e-001  1.282449e-004  3.768021e-006
 4.960000e-001  1.225640e-004  3.576522e-006
 4.980000e-001  1.157109e-004  3.828004e-006
 5.000000e-001  1.272415e-004  3.512125e-006
 5.040000e-001  1.240202e-004  2.600765e-006
 5.080000e-001  1.192122e-004  2.281330e-006
 5.120000e-001  1.220563e-004  2.832087e-006
 5.160000e-001  1.211509e-004  2.661817e-006
 5.200000e-001  1.214853e-004  2.627178e-006
 5.240000e-001  1.212974e-004  2.811684e-006
 5.280000e-001  1.247434e-004  2.809439e-006
 5.320000e-001  1.219928e-004  2.786687e-006
 5.360000e-001  1.246097e-004  3.256949e-006
 5.400000e-001  1.264975e-004  2.836934e-006
 5.440000e-001  1.210115e-004  2.698849e-006
 5.480000e-001  1.283992e-004  2.744798e-006
 5.520000e-001  1.233168e-004  2.843507e-006
 5.560000e-001  1.282065e-004  2.995154e-006
 5.600000e-001  1.334716e-004  2.746743e-006
 5.640000e-001  1.339909e-004  2.711680e-006
 5.680000e-001  1.275702e-004  2.862507e-006
 5.720000e-001  1.315438e-004  2.811395e-006
 5.760000e-001  1.314601e-004  2.825604e-006
 5.800000e-001  1.264518e-004  2.673174e-006
 5.840000e-001  1.338571e-004  2.806715e-006
 5.880000e-001  1.375767e-004  2.724281e-006
 5.920000e-001  1.331704e-004  2.492064e-006
 5.960000e-001  1.339670e-004  2.779442e-006
 6.000000e-001  1.402134e-004  2.923483e-006
 6.040000e-001  1.424376e-004  3.238358e-006
 6.080000e-001  1.391220e-004  3.062358e-006
 6.120000e-001  1.379874e-004  2.759110e-006
 6.160000e-001  1.376930e-004  2.633692e-006
 6.200000e-001  1.350810e-004  2.874097e-006
 6.240000e-001  1.350347e-004  3.093697e-006
 6.280000e-001  1.388494e-004  2.745340e-006
 6.320000e-001  1.349576e-004  2.843764e-006
 6.360000e-001  1.377012e-004  3.394565e-006
 6.400000e-001  1.367678e-004  3.018415e-006
 6.440000e-001  1.391413e-004  2.419953e-006
 6.480000e-001  1.269760e-004  2.631517e-006
 6.520000e-001  1.331229e-004  3.191979e-006
 6.560000e-001  1.291319e-004  2.934654e-006
 6.600000e-001  1.295469e-004  2.531816e-006
 6.640000e-001  1.239579e-004  3.124176e-006
 6.680000e-001  1.326149e-004  3.016640e-006
 6.720000e-001  1.249522e-004  2.700249e-006
 6.760000e-001  1.231112e-004  3.119220e-006
 6.800000e-001  1.227881e-004  2.849012e-006
 6.840000e-001  1.192506e-004  3.013860e-006
 6.880000e-001  1.167691e-004  2.531141e-006
 6.920000e-001  1.195042e-004  3.018214e-006
 6.960000e-001  1.185971e-004  2.517871e-006
 7.000000e-001  1.150541e-004  2.688706e-006
 7.040000e-001  1.135627e-004  3.000024e-006
 7.080000e-001  1.115624e-004  2.745233e-006
 7.120000e-001  1.121845e-004  2.848187e-006
 7.160000e-001  1.123333e-004  3.277716e-006
 7.200000e-001  1.059820e-004  2.958690e-006
 7.240000e-001  1.054979e-004  3.099425e-006
 7.280000e-001  1.068198e-004  3.374198e-006
 7.320000e-001  9.888402e-005  2.962872e-006
 7.360000e-001  1.028118e-004  2.940039e-006
 7.400000e-001  9.816256e-005  2.364774e-006
 7.440000e-001  1.073796e-004  2.976535e-006
 7.480000e-001  9.721138e-005  2.923483e-006
 7.520000e-001  9.883806e-005  2.804276e-006
 7.560000e-001  9.410830e-005  2.748753e-006
 7.600000e-001  9.280648e-005  3.167861e-006
 7.640000e-001  9.255032e-005  2.642946e-006
 7.680000e-001  9.237088e-005  2.787429e-006
 7.720000e-001  8.644629e-005  2.317037e-006
 7.760000e-001  9.297911e-005  2.810692e-006
 7.800000e-001  8.594967e-005  2.732051e-006
 7.840000e-001  8.604681e-005  2.708481e-006
 7.880000e-001  8.773449e-005  2.996931e-006
 7.920000e-001  8.870338e-005  2.770206e-006
 7.960000e-001  8.217253e-005  2.850570e-006
 8.000000e-001  8.293516e-005  2.995068e-006
 8.040000e-001  7.845548e-005  2.858187e-006
 8.080000e-001  8.485163e-005  2.499374e-006
 8.120000e-001  8.810894e-005  2.601996e-006
 8.160000e-001  8.183085e-005  3.239704e-006
 8.200000e-001  8.254445e-005  2.714570e-006
 8.240000e-001  8.602786e-005  2.957971e-006
 8.280000e-001  7.843794e-005  2.409895e-006
 8.320000e-001  8.561605e-005  2.900280e-006
 8.350000e-001  7.843818e-005  7.721244e-006
 8.360000e-001  8.212010e-005  2.655063e-006
 8.400000e-001  8.359508e-005  3.712848e-006
 8.440000e-001  8.579244e-005  3.328163e-006
 8.450000e-001  6.757872e-005  4.848255e-006
 8.480000e-001  8.113208e-005  3.488207e-006
 8.500000e-001  8.744701e-005  4.414306e-006
 8.520000e-001  7.835978e-005  3.825714e-006
 8.550000e-001  8.461766e-005  4.044290e-006
 8.560000e-001  7.529318e-005  4.536301e-006
 8.600000e-001  8.448508e-005  4.218304e-006
 8.640000e-001  8.006642e-005  4.581305e-006
 8.650000e-001  7.818825e-005  4.213435e-006
 8.680000e-001  7.368350e-005  5.453400e-006
 8.700000e-001  8.020396e-005  3.662162e-006
 8.720000e-001  6.708592e-005  4.851120e-006
 8.750000e-001  7.955300e-005  3.591798e-006
 8.760000e-001  8.777528e-005  6.157344e-006
 8.800000e-001  7.695707e-005  9.706623e-006
 8.850000e-001  7.583907e-005  3.640336e-006
 8.900000e-001  7.290594e-005  3.290315e-006
 8.950000e-001  7.569766e-005  3.256350e-006
 9.000000e-001  8.327891e-005  3.190274e-006
 9.050000e-001  7.400458e-005  3.191095e-006
 9.100000e-001  8.269078e-005  3.306780e-006
 9.150000e-001  7.691391e-005  2.964227e-006
 9.200000e-001  6.775676e-005  2.708518e-006
 9.250000e-001  7.990556e-005  2.916146e-006
 9.300000e-001  8.117221e-005  2.828677e-006
 9.350000e-001  8.219208e-005  2.911034e-006
 9.400000e-001  7.096015e-005  2.983586e-006
 9.450000e-001  7.745415e-005  2.923351e-006
 9.500000e-001  8.114956e-005  2.727333e-006
 9.550000e-001  7.761054e-005  3.143746e-006
 9.600000e-001  7.750538e-005  2.639148e-006
 9.650000e-001  7.767535e-005  2.595908e-006
 9.700000e-001  7.706970e-005  2.996104e-006
 9.750000e-001  7.927961e-005  2.837085e-006
 9.800000e-001  8.057208e-005  2.869604e-006
 9.850000e-001  8.269454e-005  2.719077e-006
 9.900000e-001  7.965796e-005  2.713545e-006
 9.950000e-001  8.252415e-005  2.868815e-006
 1.000000e+000  8.259978e-005  2.822024e-006
 1.005000e+000  7.685088e-005  2.377641e-006
 1.010000e+000  8.113477e-005  2.819347e-006
 1.015000e+000  8.221336e-005  2.564063e-006
 1.020000e+000  8.229784e-005  2.574578e-006
 1.025000e+000  8.042276e-005  2.646792e-006
 1.030000e+000  8.465725e-005  2.578551e-006
 1.035000e+000  8.050136e-005  2.763985e-006
 1.040000e+000  8.333426e-005  2.326443e-006
 1.045000e+000  7.872301e-005  2.500548e-006
 1.050000e+000  8.288479e-005  2.166288e-006
 1.055000e+000  8.000620e-005  2.545682e-006
 1.060000e+000  8.177374e-005  2.398325e-006
 1.065000e+000  8.401179e-005  2.264434e-006
 1.070000e+000  8.157007e-005  2.023049e-006
 1.075000e+000  8.349597e-005  2.263147e-006
 1.080000e+000  8.370022e-005  2.230965e-006
 1.085000e+000  8.115742e-005  2.424524e-006
 1.090000e+000  8.254287e-005  2.707574e-006
 1.095000e+000  8.710824e-005  2.334165e-006
 1.100000e+000  8.535470e-005  2.392424e-006
 1.105000e+000  8.934868e-005  2.808254e-006
 1.110000e+000  8.672515e-005  2.541373e-006
 1.115000e+000  8.393658e-005  2.417512e-006
 1.120000e+000  8.651697e-005  2.698744e-006
 1.125000e+000  8.357180e-005  2.480012e-006
 1.130000e+000  8.666646e-005  2.335216e-006
 1.135000e+000  9.005891e-005  2.633994e-006
 1.140000e+000  8.992500e-005  2.652262e-006
 1.145000e+000  9.203328e-005  2.726199e-006
 1.150000e+000  8.871447e-005  2.732606e-006
 1.155000e+000  8.862308e-005  2.465652e-006
 1.160000e+000  8.912355e-005  2.757684e-006
 1.165000e+000  9.138704e-005  3.015893e-006
 1.170000e+000  9.146682e-005  2.590975e-006
 1.175000e+000  9.297947e-005  2.469186e-006
 1.180000e+000  9.460578e-005  2.463936e-006
 1.185000e+000  9.897026e-005  2.571707e-006
 1.190000e+000  9.814931e-005  2.830331e-006
 1.195000e+000  9.369366e-005  2.795242e-006
 1.200000e+000  9.821194e-005  2.633382e-006
 1.205000e+000  1.049081e-004  2.664250e-006
 1.210000e+000  1.008753e-004  2.749951e-006
 1.215000e+000  9.737979e-005  2.761150e-006
 1.220000e+000  1.045559e-004  3.078894e-006
 1.225000e+000  1.041637e-004  2.627921e-006
 1.230000e+000  1.101465e-004  2.661584e-006
 1.235000e+000  1.040991e-004  2.714936e-006
 1.240000e+000  1.088577e-004  3.196488e-006
 1.245000e+000  1.080687e-004  2.832939e-006
 1.250000e+000  1.103404e-004  2.884491e-006
 1.255000e+000  1.119150e-004  3.038192e-006
 1.260000e+000  1.148486e-004  3.120160e-006
 1.265000e+000  1.152395e-004  3.179174e-006
 1.270000e+000  1.197361e-004  2.768576e-006
 1.275000e+000  1.144786e-004  3.181980e-006
 1.280000e+000  1.230147e-004  2.482484e-006
 1.285000e+000  1.240094e-004  3.204087e-006
 1.290000e+000  1.226496e-004  2.975887e-006
 1.295000e+000  1.255744e-004  3.148474e-006
 1.300000e+000  1.254740e-004  3.217144e-006
 1.305000e+000  1.246254e-004  2.801094e-006
 1.310000e+000  1.283256e-004  2.875846e-006
 1.315000e+000  1.339518e-004  3.302837e-006
 1.320000e+000  1.329429e-004  2.670526e-006
 1.325000e+000  1.329308e-004  3.038449e-006
 1.330000e+000  1.342378e-004  3.013469e-006
 1.335000e+000  1.319544e-004  3.049048e-006
 1.340000e+000  1.419759e-004  3.219132e-006
 1.345000e+000  1.457337e-004  2.981757e-006
 1.350000e+000  1.441205e-004  2.970216e-006
 1.355000e+000  1.482154e-004  2.787620e-006
 1.360000e+000  1.468550e-004  3.435995e-006
 1.365000e+000  1.492114e-004  3.292209e-006
 1.370000e+000  1.510633e-004  3.374715e-006
 1.375000e+000  1.513558e-004  3.248937e-006
 1.380000e+000  1.518942e-004  3.722465e-006
 1.385000e+000  1.562530e-004  3.921856e-006
 1.390000e+000  1.545455e-004  3.751702e-006
 1.395000e+000  1.580406e-004  4.142187e-006
 1.400000e+000  1.538825e-004  4.373463e-006
 1.405000e+000  1.597564e-004  3.699284e-006
 1.410000e+000  1.612714e-004  4.016221e-006
 1.415000e+000  1.634224e-004  5.481809e-006
 1.420000e+000  1.448052e-004  4.898464e-006
 1.425000e+000  1.601691e-004  5.612919e-006
 1.430000e+000  1.591873e-004  4.938265e-006
 1.435000e+000  1.625109e-004  4.257557e-006
 1.440000e+000  1.641476e-004  4.020257e-006
 1.445000e+000  1.690759e-004  4.512962e-006
 1.450000e+000  1.677740e-004  4.083305e-006
 1.455000e+000  1.637211e-004  3.986038e-006
 1.460000e+000  1.681273e-004  3.760344e-006
 1.465000e+000  1.589969e-004  3.930434e-006
 1.470000e+000  1.604108e-004  4.770635e-006
 1.475000e+000  1.699354e-004  3.706791e-006
 1.480000e+000  1.589070e-004  4.252418e-006
 1.485000e+000  1.678160e-004  3.769964e-006
 1.490000e+000  1.625148e-004  4.554783e-006
 1.495000e+000  1.663658e-004  4.513781e-006
 1.500000e+000  1.651219e-004  4.098474e-006
 1.505000e+000  1.616141e-004  4.355929e-006
 1.510000e+000  1.730861e-004  4.104088e-006
 1.515000e+000  1.695918e-004  4.370310e-006
 1.520000e+000  1.597790e-004  4.314643e-006
 1.525000e+000  1.640206e-004  4.794322e-006
 1.530000e+000  1.660588e-004  4.386269e-006
 1.535000e+000  1.653772e-004  3.733093e-006
 1.540000e+000  1.599025e-004  4.159882e-006
 1.545000e+000  1.612712e-004  3.902300e-006
 1.550000e+000  1.649065e-004  4.527374e-006
 1.555000e+000  1.540621e-004  3.923086e-006
 1.560000e+000  1.588265e-004  3.777722e-006
 1.565000e+000  1.604859e-004  4.189403e-006
 1.570000e+000  1.626270e-004  3.768229e-006
 1.575000e+000  1.555946e-004  3.822822e-006
 1.580000e+000  1.556952e-004  3.491945e-006
 1.585000e+000  1.601586e-004  4.344384e-006
 1.590000e+000  1.499575e-004  4.454930e-006
 1.595000e+000  1.565352e-004  4.780225e-006
